이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
window4561(hostage3786),hostage3786,비고정,1,2065,75,2,0,2065.0,5122.54,75.0,9851.22,2.0,68.69,0.56
ㅇㅇ(133.106),133.106,비회원,1,38,0,0,0,38.0,-3.9,0.0,-100.0,0.0,-100.0,0.56
Deadlock(wise8383),wise8383,비고정,1,81,0,4,0,81.0,104.86,0.0,-100.0,4.0,237.38,0.56
ㅇㅇ(united5922),united5922,비고정,1,70,0,4,0,70.0,77.04,0.0,-100.0,4.0,237.38,0.56
ㅇㅇ(consist1844),consist1844,비고정,1,51,8,0,0,51.0,28.98,8.0,961.46,0.0,-100.0,0.56
ㅇㅇ(quite1163),quite1163,비고정,1,57,0,2,1,57.0,44.16,0.0,-100.0,2.0,68.69,0.74
ㅇㅇ(115.23),115.23,비회원,1,33,1,0,0,33.0,-16.54,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(211.171),211.171,비회원,1,54,3,8,4,54.0,36.57,3.0,298.05,8.0,574.76,1.28
ㅇㅇ(proverb9168),proverb9168,비고정,1,36,0,0,0,36.0,-8.95,0.0,-100.0,0.0,-100.0,0.56
데구치,ladder7672,고정,1,27,3,0,0,27.0,-31.71,3.0,298.05,0.0,-100.0,0.56
ㅇㅇ(cashier1516),cashier1516,비고정,1,135,0,4,1,135.0,241.43,0.0,-100.0,4.0,237.38,0.74
밧줄,groom1402,고정,1,59,0,6,2,59.0,49.22,0.0,-100.0,6.0,406.07,0.92
눈썩는(daily6530),daily6530,비고정,1,52,0,1,0,52.0,31.51,0.0,-100.0,1.0,-15.65,0.56
먹방의황제는조강현이오,greet7603,고정,1,25,0,0,0,25.0,-36.77,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(purple7562),purple7562,비고정,1,46,0,7,4,46.0,16.34,0.0,-100.0,7.0,490.42,1.28
ㅇㅇ(175.196),175.196,비회원,1,46,0,2,0,46.0,16.34,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(210.92),210.92,비회원,1,38,4,0,0,38.0,-3.9,4.0,430.73,0.0,-100.0,0.56
시끄럽게(october4927),october4927,비고정,1,35,0,0,0,35.0,-11.48,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(holy7880),holy7880,비고정,1,78,10,4,0,78.0,97.27,10.0,1226.83,4.0,237.38,0.56
ㅇㅇ(jungei),jungei,비고정,1,26,0,0,0,26.0,-34.24,0.0,-100.0,0.0,-100.0,0.56
약싸개(218.54),218.54,비회원,1,29,0,0,3,29.0,-26.66,0.0,-100.0,0.0,-100.0,1.1
응카티야할거야,valid1469,고정,1,51,0,1,2,51.0,28.98,0.0,-100.0,1.0,-15.65,0.92
데이터사이언티스트(1.242),1.242,비회원,1,43,0,5,1,43.0,8.75,0.0,-100.0,5.0,321.73,0.74
양급(pave7305),pave7305,비고정,1,33,0,0,0,33.0,-16.54,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(lion0153),lion0153,비고정,1,62,0,2,0,62.0,56.8,0.0,-100.0,2.0,68.69,0.56
열심히해보자(dish7138),dish7138,비고정,1,67,0,2,0,67.0,69.45,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(kwzcjv4gfwbk),kwzcjv4gfwbk,비고정,1,40,1,0,0,40.0,1.16,1.0,32.68,0.0,-100.0,0.56
멍청이1,barber0907,고정,1,26,0,0,0,26.0,-34.24,0.0,-100.0,0.0,-100.0,0.56
sadly(sadly1608),sadly1608,비고정,1,34,0,0,0,34.0,-14.01,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(116.123),116.123,비회원,1,27,0,0,0,27.0,-31.71,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(218.151),218.151,비회원,1,26,0,0,0,26.0,-34.24,0.0,-100.0,0.0,-100.0,0.56
국어황,jaesu18,고정,1,55,1,0,0,55.0,39.1,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(tuna9556),tuna9556,비고정,1,76,0,1,0,76.0,92.21,0.0,-100.0,1.0,-15.65,0.56
촌동네싫어요2(211.235),211.235,비회원,1,54,5,0,0,54.0,36.57,5.0,563.41,0.0,-100.0,0.56
GTX부울경행,galaxy0729,고정,1,69,0,0,2,69.0,74.51,0.0,-100.0,0.0,-100.0,0.92
ㅇㅇ(pope2248),pope2248,비고정,1,36,0,0,7,36.0,-8.95,0.0,-100.0,0.0,-100.0,1.82
ㅇㅇ(diving4838),diving4838,비고정,1,30,0,0,0,30.0,-24.13,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(destroy5031),destroy5031,비고정,1,58,0,0,0,58.0,46.69,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(sidewalk9065),sidewalk9065,비고정,1,42,0,1,0,42.0,6.22,0.0,-100.0,1.0,-15.65,0.56
김푸름사상최대귀여움,volume5290,고정,1,40,0,2,1,40.0,1.16,0.0,-100.0,2.0,68.69,0.74
ㅇㅇ(throne5966),throne5966,비고정,1,56,0,1,0,56.0,41.63,0.0,-100.0,1.0,-15.65,0.56
ㅂㅅ(frost5255),frost5255,비고정,1,64,0,0,0,64.0,61.86,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(mars1692),mars1692,비고정,1,60,0,4,2,60.0,51.74,0.0,-100.0,4.0,237.38,0.92
ㅇㅇ(actually7554),actually7554,비고정,1,37,0,1,1,37.0,-6.42,0.0,-100.0,1.0,-15.65,0.74
knzksr(birthday1859),birthday1859,비고정,1,113,7,1,0,113.0,185.79,7.0,828.78,1.0,-15.65,0.56
ㅇㅇ(210.107),210.107,비회원,1,42,0,0,0,42.0,6.22,0.0,-100.0,0.0,-100.0,0.56
중앙대탈출기,behind5948,고정,1,33,1,0,0,33.0,-16.54,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(211.112),211.112,비회원,1,38,0,0,0,38.0,-3.9,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(182.220),182.220,비회원,1,67,1,2,7,67.0,69.45,1.0,32.68,2.0,68.69,1.82
ㅇㅇ(121.185),121.185,비회원,1,44,0,1,0,44.0,11.28,0.0,-100.0,1.0,-15.65,0.56
솔데카솔,worship2444,고정,1,33,0,0,0,33.0,-16.54,0.0,-100.0,0.0,-100.0,0.56
구수생공부기록,younger6501,고정,1,48,2,0,0,48.0,21.4,2.0,165.37,0.0,-100.0,0.56
ㅅㄱ(124.53),124.53,비회원,1,45,0,1,0,45.0,13.81,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(share1916),share1916,비고정,1,44,0,0,0,44.0,11.28,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(senior8844),senior8844,비고정,1,39,0,0,0,39.0,-1.37,0.0,-100.0,0.0,-100.0,0.56
채유진(deprive1134),deprive1134,비고정,1,51,0,4,1,51.0,28.98,0.0,-100.0,4.0,237.38,0.74
ㅇㅇ(lostking0),lostking0,비고정,1,25,0,0,0,25.0,-36.77,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(175.209),175.209,비회원,1,45,0,0,0,45.0,13.81,0.0,-100.0,0.0,-100.0,0.56
엘런예거,complain9700,고정,1,47,1,2,0,47.0,18.87,1.0,32.68,2.0,68.69,0.56
네네뿅,pop165,고정,1,73,0,3,0,73.0,84.62,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ(notion0767),notion0767,비고정,1,90,11,4,0,90.0,127.62,11.0,1359.51,4.0,237.38,0.56
ㅇㅇ(cjsk0042),cjsk0042,비고정,1,77,0,1,0,77.0,94.74,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(125.242),125.242,비회원,1,49,0,1,0,49.0,23.92,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(climbing2017),climbing2017,비고정,1,24,0,0,0,24.0,-39.3,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(165.229),165.229,비회원,1,57,0,1,0,57.0,44.16,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(ocean0303),ocean0303,비고정,1,42,0,1,0,42.0,6.22,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(1.218),1.218,비회원,1,42,0,3,0,42.0,6.22,0.0,-100.0,3.0,153.04,0.56
말랑p,sjmoon0517,고정,1,1832,37,27,5,1832.0,4533.26,37.0,4809.27,27.0,2177.32,1.46
ㅇㅇ(125.140),125.140,비회원,1,50,1,0,0,50.0,26.45,1.0,32.68,0.0,-100.0,0.56
병의필두,tape9842,고정,1,36,0,3,4,36.0,-8.95,0.0,-100.0,3.0,153.04,1.28
ㅇㅇ(comb7471),comb7471,비고정,1,23,0,0,0,23.0,-41.83,0.0,-100.0,0.0,-100.0,0.56
국꼭간의똥(seek1281),seek1281,비고정,1,45,1,1,0,45.0,13.81,1.0,32.68,1.0,-15.65,0.56
ㅇㅇ(heart4242),heart4242,비고정,1,71,3,2,1,71.0,79.56,3.0,298.05,2.0,68.69,0.74
ㅇㅇ(gasoline9000),gasoline9000,비고정,1,39,0,2,0,39.0,-1.37,0.0,-100.0,2.0,68.69,0.56
 ㅇㅇ(211.216),211.216,비회원,1,41,0,0,0,41.0,3.69,0.0,-100.0,0.0,-100.0,0.56
강한나(123.98),123.98,비회원,1,217,0,25,11,217.0,448.81,0.0,-100.0,25.0,2008.63,2.54
ㅇㅇ(wash9581),wash9581,비고정,1,32,2,0,0,32.0,-19.07,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(theory9866),theory9866,비고정,1,47,2,0,0,47.0,18.87,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(easily4670),easily4670,비고정,1,63,2,2,0,63.0,59.33,2.0,165.37,2.0,68.69,0.56
칠게좀나가라고,straw5165,고정,1,38,0,1,0,38.0,-3.9,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(march2521),march2521,비고정,1,32,0,0,0,32.0,-19.07,0.0,-100.0,0.0,-100.0,0.56
설지구,weekend5525,고정,1,56,0,3,0,56.0,41.63,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ(118.131),118.131,비회원,1,49,1,0,0,49.0,23.92,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(27.113),27.113,비회원,1,75,4,3,0,75.0,89.68,4.0,430.73,3.0,153.04,0.56
마름모,elastico,고정,1,111,0,2,2,111.0,180.73,0.0,-100.0,2.0,68.69,0.92
ㅇㅇ(deaf7962),deaf7962,비고정,1,42,1,0,0,42.0,6.22,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(snowball5094),snowball5094,비고정,1,41,1,1,0,41.0,3.69,1.0,32.68,1.0,-15.65,0.56
RaMi,eager5609,고정,1,36,0,0,0,36.0,-8.95,0.0,-100.0,0.0,-100.0,0.56
빡붕이(175.198),175.198,비회원,1,83,1,1,2,83.0,109.91,1.0,32.68,1.0,-15.65,0.92
ㅇㅇ(1.239),1.239,비회원,1,39,0,0,0,39.0,-1.37,0.0,-100.0,0.0,-100.0,0.56
반야월역2번출구,publicly8259,고정,1,58,0,1,0,58.0,46.69,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(14.55),14.55,비회원,1,40,0,1,0,40.0,1.16,0.0,-100.0,1.0,-15.65,0.56
Hod,what8916,고정,1,52,0,4,5,52.0,31.51,0.0,-100.0,4.0,237.38,1.46
크앙잉,tkatnzdl0826,고정,1,52,0,6,3,52.0,31.51,0.0,-100.0,6.0,406.07,1.1
ㅇㅇ(hare2677),hare2677,비고정,1,33,0,0,0,33.0,-16.54,0.0,-100.0,0.0,-100.0,0.56
성범죄녀(115.160),115.160,비회원,1,38,0,0,0,38.0,-3.9,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(121.181),121.181,비회원,1,35,0,1,0,35.0,-11.48,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(sofa2961),sofa2961,비고정,1,51,0,0,0,51.0,28.98,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(dental0600),dental0600,비고정,1,29,0,0,0,29.0,-26.66,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(guide4480),guide4480,비고정,1,40,0,0,0,40.0,1.16,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(peach6458),peach6458,비고정,1,37,0,0,0,37.0,-6.42,0.0,-100.0,0.0,-100.0,0.56
ㅂㅅ(arabic0978),arabic0978,비고정,1,61,2,2,1,61.0,54.27,2.0,165.37,2.0,68.69,0.74
ㅇㅇ(memorize7427),memorize7427,비고정,1,43,2,0,0,43.0,8.75,2.0,165.37,0.0,-100.0,0.56
[Midnight],midnight0742,고정,1,35,0,0,0,35.0,-11.48,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(180.226),180.226,비회원,1,53,0,1,0,53.0,34.04,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(113.10),113.10,비회원,1,36,0,0,0,36.0,-8.95,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(islife),islife,비고정,1,47,0,1,0,47.0,18.87,0.0,-100.0,1.0,-15.65,0.56
김춘삼애.미(1.218),1.218,비회원,1,59,4,0,0,59.0,49.22,4.0,430.73,0.0,-100.0,0.56
우노우노,justalone1,고정,1,35,0,2,1,35.0,-11.48,0.0,-100.0,2.0,68.69,0.74
나의우상축신두,movie0573,고정,1,50,0,2,0,50.0,26.45,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(width1421),width1421,비고정,1,86,0,3,1,86.0,117.5,0.0,-100.0,3.0,153.04,0.74
ㅣ(218.235),218.235,비회원,1,29,0,0,0,29.0,-26.66,0.0,-100.0,0.0,-100.0,0.56
건실왕,caley0625,고정,1,39,0,1,0,39.0,-1.37,0.0,-100.0,1.0,-15.65,0.56
킹갓메시형(218.239),218.239,비회원,1,42,1,1,0,42.0,6.22,1.0,32.68,1.0,-15.65,0.56
ㅇㅇ(168.188),168.188,비회원,1,73,0,7,0,73.0,84.62,0.0,-100.0,7.0,490.42,0.56
ㅇㅇ(critic2151),critic2151,비고정,1,47,2,0,0,47.0,18.87,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(182.172),182.172,비회원,1,31,0,0,0,31.0,-21.6,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(f7s6rtt8wxl1),f7s6rtt8wxl1,비고정,1,47,0,0,0,47.0,18.87,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(121.170),121.170,비회원,1,70,0,5,1,70.0,77.04,0.0,-100.0,5.0,321.73,0.74
병아리(xodfhmvwfz6f),xodfhmvwfz6f,비고정,1,48,0,1,0,48.0,21.4,0.0,-100.0,1.0,-15.65,0.56
아글ㅆ(218.235),218.235,비회원,1,39,0,1,0,39.0,-1.37,0.0,-100.0,1.0,-15.65,0.56
아ㄷ(218.235),218.235,비회원,1,48,4,3,0,48.0,21.4,4.0,430.73,3.0,153.04,0.56
ㅇㅇ(211.223),211.223,비회원,1,46,0,0,0,46.0,16.34,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(218.146),218.146,비회원,1,40,0,0,0,40.0,1.16,0.0,-100.0,0.0,-100.0,0.56
CHOWOL(symphony5163),symphony5163,비고정,1,42,2,0,0,42.0,6.22,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(1.254),1.254,비회원,1,47,0,2,0,47.0,18.87,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(149.50),149.50,비회원,1,47,1,0,0,47.0,18.87,1.0,32.68,0.0,-100.0,0.56
빡붕쿤(121.186),121.186,비회원,1,31,0,0,1,31.0,-21.6,0.0,-100.0,0.0,-100.0,0.74
ㅇㅇ(enhance8021),enhance8021,비고정,1,40,0,0,0,40.0,1.16,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(crack0900),crack0900,비고정,1,62,0,4,0,62.0,56.8,0.0,-100.0,4.0,237.38,0.56
ㅇㅇ(1.234),1.234,비회원,1,95,8,1,0,95.0,140.26,8.0,961.46,1.0,-15.65,0.56
ㅇㅇ(112.133),112.133,비회원,1,42,3,1,0,42.0,6.22,3.0,298.05,1.0,-15.65,0.56
청소기의속마음(cord9521),cord9521,비고정,1,133,15,4,0,133.0,236.37,15.0,1890.24,4.0,237.38,0.56
메가스터디김성은,megakse729,고정,1,2065,96,79,5,2065.0,5122.54,96.0,12637.57,79.0,6563.28,1.46
ㅇㅇ(hotel3793),hotel3793,비고정,1,50,4,1,0,50.0,26.45,4.0,430.73,1.0,-15.65,0.56
ㅇㅇ(flaw5939),flaw5939,비고정,1,34,0,0,0,34.0,-14.01,0.0,-100.0,0.0,-100.0,0.56
김미키(14.34),14.34,비회원,1,52,0,0,0,52.0,31.51,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(flock5247),flock5247,비고정,1,33,1,1,0,33.0,-16.54,1.0,32.68,1.0,-15.65,0.56
뭐랭,fairy3506,고정,1,32,0,0,1,32.0,-19.07,0.0,-100.0,0.0,-100.0,0.74
븅신보면점찍음(single4019),single4019,비고정,1,34,0,0,0,34.0,-14.01,0.0,-100.0,0.0,-100.0,0.56
에리카생(155.2),155.2,비회원,1,58,3,1,0,58.0,46.69,3.0,298.05,1.0,-15.65,0.56
ㅇㅇ(210.183),210.183,비회원,1,45,0,0,0,45.0,13.81,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(bowl4700),bowl4700,비고정,1,56,0,3,3,56.0,41.63,0.0,-100.0,3.0,153.04,1.1
ㅇㅇ(voter0937),voter0937,비고정,1,70,0,3,0,70.0,77.04,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ(220.119),220.119,비회원,1,37,0,1,0,37.0,-6.42,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(14.40),14.40,비회원,1,29,0,0,0,29.0,-26.66,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(city9461),city9461,비고정,1,33,0,0,0,33.0,-16.54,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(northern3608),northern3608,비고정,1,73,0,3,0,73.0,84.62,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ1(211.114),211.114,비회원,1,41,0,0,25,41.0,3.69,0.0,-100.0,0.0,-100.0,5.06
안네,aris47,고정,1,35,0,2,1,35.0,-11.48,0.0,-100.0,2.0,68.69,0.74
ㅇㅇ(junk9574),junk9574,비고정,1,81,0,0,0,81.0,104.86,0.0,-100.0,0.0,-100.0,0.56
투표용계정,winner3689,고정,1,33,1,0,0,33.0,-16.54,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(vidovic),vidovic,비고정,1,89,1,1,0,89.0,125.09,1.0,32.68,1.0,-15.65,0.56
ㅇㅇ(211.184),211.184,비회원,1,47,0,0,0,47.0,18.87,0.0,-100.0,0.0,-100.0,0.56
123(kk7711),kk7711,비고정,1,52,0,6,1,52.0,31.51,0.0,-100.0,6.0,406.07,0.74
ㅇㅇ(outcome4750),outcome4750,비고정,1,24,0,0,0,24.0,-39.3,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(prose9139),prose9139,비고정,1,53,3,0,0,53.0,34.04,3.0,298.05,0.0,-100.0,0.56
ㅇㅇ(202.150),202.150,비회원,1,44,0,3,0,44.0,11.28,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ(121.169),121.169,비회원,1,50,1,0,0,50.0,26.45,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(1.211),1.211,비회원,1,55,1,0,0,55.0,39.1,1.0,32.68,0.0,-100.0,0.56
2합4(pill0017),pill0017,비고정,1,90,0,3,0,90.0,127.62,0.0,-100.0,3.0,153.04,0.56
ㅇㅇ(demon6274),demon6274,비고정,1,51,0,6,9,51.0,28.98,0.0,-100.0,6.0,406.07,2.18
ㅋㅋ(211.235),211.235,비회원,1,35,1,0,1,35.0,-11.48,1.0,32.68,0.0,-100.0,0.74
ㅇㅇ(prospect8623),prospect8623,비고정,1,84,0,1,0,84.0,112.44,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(deprive3828),deprive3828,비고정,1,53,0,0,0,53.0,34.04,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(more9489),more9489,비고정,1,51,2,1,0,51.0,28.98,2.0,165.37,1.0,-15.65,0.56
ㅇㅇ(unhappy4307),unhappy4307,비고정,1,35,0,1,0,35.0,-11.48,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(sftsft1),sftsft1,비고정,1,85,0,2,1,85.0,114.97,0.0,-100.0,2.0,68.69,0.74
TEAM08,german0733,고정,1,51,0,0,0,51.0,28.98,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(112.77),112.77,비회원,1,69,3,2,0,69.0,74.51,3.0,298.05,2.0,68.69,0.56
훙빤의속마음(175.121),175.121,비회원,1,75,10,0,0,75.0,89.68,10.0,1226.83,0.0,-100.0,0.56
ㅇㅇ(106.246),106.246,비회원,1,63,0,2,1,63.0,59.33,0.0,-100.0,2.0,68.69,0.74
국민대꼭간다(wedding1543),wedding1543,비고정,1,60,0,2,0,60.0,51.74,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(121.55),121.55,비회원,1,68,0,2,1,68.0,71.98,0.0,-100.0,2.0,68.69,0.74
ㅇㅇ(121.180),121.180,비회원,1,38,0,0,0,38.0,-3.9,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(112.218),112.218,비회원,1,32,0,0,0,32.0,-19.07,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(wall1431),wall1431,비고정,1,39,0,0,0,39.0,-1.37,0.0,-100.0,0.0,-100.0,0.56
코넨네,observe9999,고정,1,26,0,0,0,26.0,-34.24,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(here6225),here6225,비고정,1,44,0,0,0,44.0,11.28,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(211.53),211.53,비회원,1,61,3,1,4,61.0,54.27,3.0,298.05,1.0,-15.65,1.28
ㅇㅇ(ghost6350),ghost6350,비고정,1,35,0,0,9,35.0,-11.48,0.0,-100.0,0.0,-100.0,2.18
ㅇㅇ(mavvvvv5),mavvvvv5,비고정,1,58,0,1,0,58.0,46.69,0.0,-100.0,1.0,-15.65,0.56
국민대꼭간다(monitor3154),monitor3154,비고정,1,75,6,3,0,75.0,89.68,6.0,696.1,3.0,153.04,0.56
솊숑(175.204),175.204,비회원,1,30,0,0,0,30.0,-24.13,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(all09),all09,비고정,1,50,1,0,0,50.0,26.45,1.0,32.68,0.0,-100.0,0.56
volk,silly0964,고정,1,34,0,0,0,34.0,-14.01,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(175.123),175.123,비회원,1,59,1,2,5,59.0,49.22,1.0,32.68,2.0,68.69,1.46
섺스(liebe0514),liebe0514,비고정,1,60,0,0,0,60.0,51.74,0.0,-100.0,0.0,-100.0,0.56
휘문고(walking7372),walking7372,비고정,1,44,0,4,6,44.0,11.28,0.0,-100.0,4.0,237.38,1.64
김윤민(118.47),118.47,비회원,1,76,3,1,0,76.0,92.21,3.0,298.05,1.0,-15.65,0.56
ㅇㅇ(106.253),106.253,비회원,1,56,0,1,0,56.0,41.63,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(unkind3281),unkind3281,비고정,1,35,0,0,1,35.0,-11.48,0.0,-100.0,0.0,-100.0,0.74
ㅇㅇ(lazy9729),lazy9729,비고정,1,304,0,5,1,304.0,668.84,0.0,-100.0,5.0,321.73,0.74
보랑이호지털(runny4642),runny4642,비고정,1,32,0,0,2,32.0,-19.07,0.0,-100.0,0.0,-100.0,0.92
めざあ,lean6152,고정,1,48,2,0,0,48.0,21.4,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(star2722),star2722,비고정,1,45,0,2,1,45.0,13.81,0.0,-100.0,2.0,68.69,0.74
ㅇㅇ(boastful2808),boastful2808,비고정,1,66,1,1,0,66.0,66.92,1.0,32.68,1.0,-15.65,0.56
ㅇㅇ(magic0113),magic0113,비고정,1,62,1,0,0,62.0,56.8,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(reject4097),reject4097,비고정,1,68,0,2,1,68.0,71.98,0.0,-100.0,2.0,68.69,0.74
사나2김춘3(112.150),112.150,비회원,1,27,0,1,0,27.0,-31.71,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(extent4861),extent4861,비고정,1,25,0,0,0,25.0,-36.77,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(128.134),128.134,비회원,1,39,0,1,0,39.0,-1.37,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(improve7953),improve7953,비고정,1,91,4,1,0,91.0,130.15,4.0,430.73,1.0,-15.65,0.56
ㅇㅇ(contrast0506),contrast0506,비고정,1,25,0,0,0,25.0,-36.77,0.0,-100.0,0.0,-100.0,0.56
사카(112.150),112.150,비회원,1,34,0,0,0,34.0,-14.01,0.0,-100.0,0.0,-100.0,0.56
Zorin(film7670),film7670,비고정,1,45,0,3,0,45.0,13.81,0.0,-100.0,3.0,153.04,0.56
길은여기에(swan7419),swan7419,비고정,1,55,0,3,2,55.0,39.1,0.0,-100.0,3.0,153.04,0.92
ㅇㅇ(118.176),118.176,비회원,1,35,0,0,0,35.0,-11.48,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(remember2345),remember2345,비고정,1,35,2,1,4,35.0,-11.48,2.0,165.37,1.0,-15.65,1.28
ㅇㅇ(123.140),123.140,비회원,1,66,0,1,0,66.0,66.92,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(height3847),height3847,비고정,1,39,0,0,0,39.0,-1.37,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(went0039),went0039,비고정,1,130,11,9,0,130.0,228.78,11.0,1359.51,9.0,659.11,0.56
ㅇㅇ(goal6673),goal6673,비고정,1,46,1,1,0,46.0,16.34,1.0,32.68,1.0,-15.65,0.56
2호기파일럿아스카,devise0160,고정,1,52,0,5,3,52.0,31.51,0.0,-100.0,5.0,321.73,1.1
ㅇㅇ(dbszkzk),dbszkzk,비고정,1,47,0,1,0,47.0,18.87,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(180.70),180.70,비회원,1,51,1,0,0,51.0,28.98,1.0,32.68,0.0,-100.0,0.56
ㅇㅇ(123.254),123.254,비회원,1,89,0,9,4,89.0,125.09,0.0,-100.0,9.0,659.11,1.28
모루핀,people2125,고정,1,65,1,4,1,65.0,64.39,1.0,32.68,4.0,237.38,0.74
ㅇㅇ(203.252),203.252,비회원,1,37,0,0,0,37.0,-6.42,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(thailand0073),thailand0073,비고정,1,30,0,0,0,30.0,-24.13,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(nervous7301),nervous7301,비고정,1,60,0,2,0,60.0,51.74,0.0,-100.0,2.0,68.69,0.56
ㅇㅇ(112.214),112.214,비회원,1,74,0,0,0,74.0,87.15,0.0,-100.0,0.0,-100.0,0.56
SNS중독멘헤라소녀,lovemeonly,고정,1,95,0,0,0,95.0,140.26,0.0,-100.0,0.0,-100.0,0.56
ㅇㅇ(ugly7343),ugly7343,비고정,1,1600,33,17,6,1600.0,3946.52,33.0,4278.54,17.0,1333.87,1.64
ㅇㅇ(218.232),218.232,비회원,1,71,0,1,0,71.0,79.56,0.0,-100.0,1.0,-15.65,0.56
ㅇㅇ(103.155),103.155,비회원,1,57,2,0,0,57.0,44.16,2.0,165.37,0.0,-100.0,0.56
ㅇㅇ(203.128),203.128,비회원,1,46,0,1,0,46.0,16.34,0.0,-100.0,1.0,-15.65,0.56
국가지휘자키타앙,goose8837,고정,1,126,0,6,2,126.0,218.66,0.0,-100.0,6.0,406.07,0.92
